,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,is_organic
1075,C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@H](O2)[C@@H]([C@H]7O)O)CO)CO)CO)CO)CO)O)O)O,Inactive,0,True
1085,C1=CC=C(C=C1)CBr,Inactive,0,True
1090,COC1=CC=CC=C1/C=C\C(=O)O,Inactive,0,True
1093,CC1(O[C@@H]2C(C(OC2O1)C(CO)O)OCCCN(C)C)C.Cl,Inactive,0,True
1097,C=CCOC(=O)C1=CC=CC=C1N,Inactive,0,True
1098,C[C@]12CCC3C([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,Active,41,True
1105,CC(=O)OCC=C,Inactive,0,True
1113,COC1=C(C=C(C=C1)/C=C/C(=O)O)OC,Inactive,0,True
1114,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O.Cl,Inactive,0,True
1117,CN(C)C1=NC2=C(N1)C(=C(C(=C2Br)Br)Br)Br,Active,41,True
1120,CCCCCCCCC(=O)OCC=C,Inactive,0,True
1130,C=CCBr,Inactive,0,True
1132,CC1=CC(=CC(=C1C(=O)O)O)O,Active,40,True
1136,C1CC2C3C(C1O2)C(=O)OC3=O,Inactive,0,True
1142,CC1=CC2=C(C=CC=N2)C=C1,Inactive,0,True
1143,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3C)O)C(=O)OC4O)C=O)OC,Active,42,True
1157,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC=CC=C1,Inactive,0,True
1162,CC1=CC2=C(C=C1)OC(=O)C=C2,Inactive,0,True
1168,CC(=C)C1=CC2=CC(=C(C=C2O1)O)C(=O)C,Active,40,True
1171,C(C1C(C(C(C(=O)O1)O)O)O)O,Inactive,0,True
1180,CC(C)CCCC(C)C1CCC2[C@]1(CCC3C2CC([C@@]4([C@]3(CCC(C4)O)C)O)O)C,Inactive,0,True
1187,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.[Br-],Inactive,0,True
1194,C1=NC2C(N1)C(=S)NC=N2.O,Inactive,0,True
1201,COC1=CC(=CC(=C1OC)OC)/C=C/C(=O)O,Inactive,0,True
1211,CC1=CC(=O)C2[C@]([C@]1(CCC3=COC=C3)O)(CCCC2(C)C)C,Active,41,True
1218,CC1=CC(=C(C=C1)[N+](=O)[O-])N,Inactive,0,True
